,StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label,Botnet,feature
407,2011/08/18 10:19:15.693956,3587.569824,2,147.32.84.164,54784,  <?>,74.125.232.215,443,PA_PA,0.0,0.0,3049,978731,245317,flow=From-Normal-V51-Grill,False,2.0
697,2011/08/18 10:19:18.143576,198.07273899999998,2,147.32.84.164,56165,  <?>,74.125.232.197,80,FA_FA,0.0,0.0,14,924,462,flow=From-Normal-V51-Grill,False,2.0
717,2011/08/18 10:19:18.303590,197.928329,2,147.32.84.164,57965,  <?>,209.85.149.138,80,FA_FA,0.0,0.0,14,924,462,flow=From-Normal-V51-Grill,False,2.0
896,2011/08/18 10:19:19.838272,0.000399,1,147.32.84.170,45807,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
897,2011/08/18 10:19:19.839123,0.0004,1,147.32.84.170,35380,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
898,2011/08/18 10:19:19.840040,0.018164,2,147.32.84.170,44383,   ->,209.85.148.105,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
1020,2011/08/18 10:19:20.966671,3567.7219240000004,2,147.32.84.170,47206,  <?>,64.12.73.165,443,PA_PA,0.0,0.0,256,26627,9179,flow=From-Normal-V51-Stribrek,False,2.0
1021,2011/08/18 10:19:20.966678,3511.644043,2,147.32.84.170,51657,  <?>,64.12.73.133,443,PA_A,0.0,0.0,110,6600,3300,flow=From-Normal-V51-Stribrek,False,2.0
1022,2011/08/18 10:19:20.966721,3567.485352,2,147.32.84.170,41315,  <?>,205.188.11.14,443,PA_PA,0.0,0.0,387,61455,12348,flow=From-Normal-V51-Stribrek,False,2.0
1279,2011/08/18 10:19:23.450600,3570.136475,2,147.32.84.164,58434,  <?>,64.12.73.134,443,PA_A,0.0,0.0,184,11040,5520,flow=From-Normal-V51-Grill,False,2.0
1280,2011/08/18 10:19:23.450607,3570.137939,2,147.32.84.164,57193,  <?>,205.188.8.253,443,PA_PA,0.0,0.0,347,44462,17125,flow=From-Normal-V51-Grill,False,2.0
1641,2011/08/18 10:19:26.801505,3591.117188,2,147.32.84.134,48728,  <?>,74.125.39.125,5222,PA_PA,0.0,0.0,820,222662,63459,flow=From-Normal-V51-Jist,False,2.0
1683,2011/08/18 10:19:27.557831,153.83371,2,147.32.84.170,55623,  <?>,74.125.232.199,80,FA_FRA,0.0,0.0,12,786,396,flow=From-Normal-V51-Stribrek,False,2.0
1868,2011/08/18 10:19:29.443073,3375.946777,2,147.32.84.134,51604,  <?>,205.188.17.129,443,PA_RPA,0.0,0.0,235,15942,7392,flow=From-Normal-V51-Jist,False,2.0
1869,2011/08/18 10:19:29.443080,3571.592773,2,147.32.84.134,51421,  <?>,64.12.73.133,443,PA_A,0.0,0.0,214,12840,6420,flow=From-Normal-V51-Jist,False,2.0
1870,2011/08/18 10:19:29.443084,3571.922607,2,147.32.84.134,53072,  <?>,205.188.10.203,443,PA_PA,0.0,0.0,265,25274,8468,flow=From-Normal-V51-Jist,False,2.0
1894,2011/08/18 10:19:29.837933,0.000471,1,147.32.84.170,56758,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
1895,2011/08/18 10:19:29.838944,0.000437,1,147.32.84.170,57224,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
1896,2011/08/18 10:19:29.840177,0.017932,2,147.32.84.170,44384,   ->,209.85.148.105,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
2234,2011/08/18 10:19:33.478630,0.00026000000000000003,1,147.32.84.170,34328,  <->,147.32.80.9,53,CON,0.0,0.0,2,244,81,flow=From-Normal-V51-Stribrek,False,1.0
2235,2011/08/18 10:19:33.479269,0.000227,1,147.32.84.170,48573,  <->,147.32.80.9,53,CON,0.0,0.0,2,280,81,flow=From-Normal-V51-Stribrek,False,1.0
2236,2011/08/18 10:19:33.480066,0.299786,2,147.32.84.170,47286,   ->,195.24.232.205,80,FSPA_FSPA,0.0,0.0,10,1218,549,flow=From-Normal-V51-Stribrek,False,1.0
2525,2011/08/18 10:19:36.342929,3598.4643549999996,1,147.32.86.96,53277,  <->,82.208.56.89,123,CON,0.0,0.0,228,20520,10260,flow=To-Normal-V51-UDP-NTP-server,False,2.0
2593,2011/08/18 10:19:36.997973,3571.535889,2,147.32.84.170,43527,  <?>,74.125.39.125,5222,PA_PA,0.0,0.0,178,14094,7329,flow=From-Normal-V51-Stribrek,False,2.0
2843,2011/08/18 10:19:39.838661,0.00037,1,147.32.84.170,47437,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
2844,2011/08/18 10:19:39.839531,0.000367,1,147.32.84.170,47998,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
2845,2011/08/18 10:19:39.840632,0.018169,2,147.32.84.170,50814,   ->,209.85.148.106,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
2916,2011/08/18 10:19:40.597511,1815.323608,2,147.32.84.164,43355,   ->,64.12.68.227,443,SPA_SRPA,0.0,0.0,137,11152,4893,flow=From-Normal-V51-Grill,False,2.0
3247,2011/08/18 10:19:44.543657,1651.763794,2,147.32.84.164,43841,  <?>,195.113.232.98,80,FPA_FPA,0.0,0.0,525,487539,44703,flow=From-Normal-V51-Grill,False,2.0
3248,2011/08/18 10:19:44.543719,1651.764038,2,147.32.84.164,43842,  <?>,195.113.232.98,80,FPA_FPA,0.0,0.0,1368,1405338,62918,flow=From-Normal-V51-Grill,False,2.0
3249,2011/08/18 10:19:44.543726,1651.763794,2,147.32.84.164,43843,  <?>,195.113.232.98,80,FPA_FPA,0.0,0.0,220,153886,26725,flow=From-Normal-V51-Grill,False,2.0
